Molecule Name,CDD Number,CXSMILES (CDD Compatible),SMILES,Batch Name,Batch Molecule-Batch ID,Canonical PostEra ID,suspected_SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Lower) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Upper) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Hill slope,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Curve class
CVD-0016002,"",O=C(CC1=CC(Cl)=CC(N2CCN(C3=NSC4=C3C=CC=C4)CC2)=C1)NC1=CN=CC2=CC=CC=C12,ClC1=CC(N2CCN(C3=NSC4=C3C=CC=C4)CC2)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,CVD-0016002-001,PCM-0222026,"ClC1=CC(=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1)N1CCN(CC1)C1=NSC2=C1C=CC=C2 |c:3,12,16,21,34,37,39,t:1,10,14,18,31|",3.34,3.04,3.67,0.991,2.1
CVD-0016001,"",CN1CCN(C2=C(F)C=C(NC3=CC(CC(=O)NC4=CN=CC5=CC=CC=C45)=CC(Cl)=C3)C=C2)CC1,CN1CCN(C2=C(F)C=C(NC3=CC(CC(=O)NC4=CN=CC5=CC=CC=C45)=CC(Cl)=C3)C=C2)CC1,001,CVD-0016001-001,PCM-0222027,"CN1CCN(CC1)C1=C(F)C=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=C1 |c:8,23,27,32,35,38,t:11,14,21,25,29|",2.80,2.65,2.95,0.997,2.1
CVD-0016000,"",O=C(CC1=CC(Cl)=CC(N2CCN(CCC3=CC=CC=C3)CC2)=C1)NC1=CN=CC2=CC=CC=C12,ClC1=CC(N2CCN(CCC3=CC=CC=C3)CC2)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,CVD-0016000-001,PCM-0222028,"ClC1=CC(=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1)N1CCN(CCC2=CC=CC=C2)CC1 |c:3,12,16,21,32,34,t:1,10,14,18,30|",5.02,4.31,5.86,1.11,2.1
CVD-0015999,"",N#CC1=C(Cl)C=CC=C1NC1=CC(Cl)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,ClC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(NC2=CC=CC(Cl)=C2C#N)=C1,001,CVD-0015999-001,PCM-0222029,"ClC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(NC2=CC=CC(Cl)=C2C#N)=C1 |c:10,14,19,25,28,32,t:1,8,12,16,23|",1.93,1.72,2.17,1.01,2.1
CVD-0015998,"",O=C(CC1=CC(Cl)=CC(N(C(=O)C2=CC=CC=C2)C2CCNCC2)=C1)NC1=CN=CC2=CC=CC=C12,ClC1=CC(N(C2CCNCC2)C(=O)C2=CC=CC=C2)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,CVD-0015998-001,PCM-0222030,"ClC1=CC(=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1)N(C1CCNCC1)C(=O)C1=CC=CC=C1 |c:3,12,16,21,36,38,t:1,10,14,18,34|",2.14,1.99,2.30,1.03,2.1
CVD-0015997,"",O=C(CC1=CC(Cl)=CC(NC2=NC=CC=C2OCC2=CC=CC=C2)=C1)NC1=CN=CC2=CC=CC=C12,ClC1=CC(NC2=NC=CC=C2OCC2=CC=CC=C2)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,CVD-0015997-001,PCM-0222031,"ClC1=CC(NC2=NC=CC=C2OCC2=CC=CC=C2)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1 |c:7,9,16,18,20,29,33,38,t:1,5,14,27,31,35|",2.00,1.84,2.17,0.956,2.1
CVD-0015996,"",CC(C)(C)C1=CSC(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=N1,CC(C)(C)C1=CSC(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=N1,001,CVD-0015996-001,PCM-0222032,"CC(C)(C)C1=CSC(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=N1 |c:18,22,27,30,32,t:4,9,16,20,24|",2.09,1.82,2.39,1.03,2.1
CVD-0015995,"",CC1=NN(C2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)C(N)=C1Br,CC1=NN(C2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)C(N)=C1Br,001,CVD-0015995-001,PCM-0222033,"CC1=NN(C(N)=C1Br)C1=CC(Cl)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1 |c:5,12,21,25,30,t:1,9,19,23,27|",1.72,1.30,2.29,1.01,2.1
CVD-0015994,"",O=C(CC1=CC(Cl)=CC(N2CCC(C(F)(F)F)CC2)=C1)NC1=CN=CC2=CC=CC=C12,FC(F)(F)C1CCN(C2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)CC1,001,CVD-0015994-001,PCM-0222034,"FC(F)(F)C1CCN(CC1)C1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(Cl)=C1 |c:20,24,29,32,t:11,18,22,26|",1.43,1.34,1.52,1.07,2.1
CVD-0015993,"",CSC1=NC=C(C#N)C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=N1,CSC1=NC=C(C#N)C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=N1,001,CVD-0015993-001,PCM-0222035,"CSC1=NC=C(C#N)C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=N1 |c:19,23,28,31,33,t:2,4,10,17,21,25|",1.84,1.70,1.99,1.04,2.1
