Molecule Name,CDD Number,CXSMILES (CDD Compatible),SMILES,Batch Name,Batch Molecule-Batch ID,Canonical PostEra ID,suspected_SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Lower) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Upper) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Hill slope,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Curve class
CVD-0020651,"",O=C(CCl)N1CCN(S(=O)(=O)C2=C(Cl)C=C(Br)C=C2Cl)CC1,ClCC(=O)N1CCN(S(=O)(=O)c2c(Cl)cc(Br)cc2Cl)CC1,001,CVD-0020651-001,"","",0.367,0.343,0.392,1.56,1.1
CVD-0020650,"",O=C(CCl)N1CCN(S(=O)(=O)C2=CC=CC3=CC=CC=C23)CC1,ClCC(=O)N1CCN(S(=O)(=O)c2cccc3ccccc23)CC1,001,CVD-0020650-001,"","",1.02,0.932,1.11,1.25,1.1
CVD-0020649,"",O=C(CCl)N1CCN(C(=O)C2=CC=C(Cl)C=C2)CC1,ClCC(=O)N1CCN(C(=O)c2ccc(Cl)cc2)CC1,001,CVD-0020649-001,"","",21.5,19.6,23.5,1.39,1.1
CVD-0020648,"",O=C(CCl)N1CCN(C(=O)C2=CC=C3C=CC=CC3=C2)CC1,ClCC(=O)N1CCN(C(=O)c2ccc3ccccc3c2)CC1,001,CVD-0020648-001,"","",2.83,2.58,3.10,1.30,1.1
CVD-0020647,"",O=C(CCl)N1CCN(C(=O)C2=CC=C(F)C=C2)CC1,Fc1ccc(C(=O)N2CCN(C(=O)CCl)CC2)cc1,001,CVD-0020647-001,"","",1.77,1.65,1.90,1.39,1.1
CVD-0020645,CDD-1605070,O=C1C2=C(N=C(O)N1C1=CC=CC(Cl)=C1)SC(C1=CC=CC=C1)=C2,Oc1nc2sc(-c3ccccc3)cc2c(=O)n1-c1cccc(Cl)c1,001,CVD-0020645-001,"",Oc1nc2sc(cc2c(=O)n1-c1cccc(Cl)c1)-c1ccccc1,> 99.5,"","",0.739,4
CVD-0020644,CDD-2370496,CN1C(=O)N(C2=CC(Cl)=CC(Cl)=C2)C(=O)[C@@]1(C)CC1=CC=C(Br)C=C1,CN1C(=O)N(c2cc(Cl)cc(Cl)c2)C(=O)[C@@]1(C)Cc1ccc(Br)cc1,001,CVD-0020644-001,"",CN1C(=O)N(C(=O)[C@@]1(C)Cc1ccc(Br)cc1)c1cc(Cl)cc(Cl)c1,> 99.5,"","",0.596,3
CVD-0020643,CDD-784212,O=C(CN1C(=O)C2=CC=CC=C2S1(=O)=O)NC1=CC=C(O)C=C1,Oc1ccc(NC(=O)CN2C(=O)c3ccccc3S2(=O)=O)cc1,001,CVD-0020643-001,"",Oc1ccc(NC(=O)CN2C(=O)c3ccccc3S2(=O)=O)cc1,> 99.5,"","",-10.2,4
CVD-0020642,CDD-1352079,O=C(C1=CC=CC=N1)C1=C2N=CC=C(C3=CC=NC=C3)N2N=C1,O=C(c1cnn2c(-c3ccncc3)ccnc12)c1ccccn1,001,CVD-0020642-001,"",O=C(c1cnn2c(ccnc12)-c1ccncc1)c1ccccn1,> 99.5,"","","",""
CVD-0020641,CDD-1350878,N#C/C(=C1/SCC(C2=CC=CC=C2Cl)S1)N1C=CN=C1,Clc1ccccc1C1CS/C(=C(/C#N)n2ccnc2)S1,001,CVD-0020641-001,"",Clc1ccccc1C1CS\C(S1)=C(\C#N)n1ccnc1,> 99.5,"","",0.935,2.3
CVD-0020640,CDD-1352022,CN1C2=C(OC(=O)N(C3=CC=CC=N3)C2=O)C2=CC=CC=C2S1(=O)=O,CN1c2c(oc(=O)n(-c3ccccn3)c2=O)-c2ccccc2S1(=O)=O,001,CVD-0020640-001,"",CN1c2c(oc(=O)n(-c3ccccn3)c2=O)-c2ccccc2S1(=O)=O,> 99.5,"","",1.44,3
CVD-0020639,CDD-2163044,CC[C@H](NC(=O)C1=C(O)C(C2=CC=CC=C2)=NC2=CC=CC=C12)C1=CC=CC=C1,CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,001,CVD-0020639-001,"",CC[C@H](NC(=O)c1c(O)c(nc2ccccc12)-c1ccccc1)c1ccccc1,> 99.5,"","",0.714,2.1
CVD-0020638,CDD-1402079,CC1=CC=CC(C2=C(C3=CC=C4N=CC=NC4=C3)N=C(CC3=CC=CC(C(N)=O)=C3)N2)=N1,Cc1cccc(-c2[nH]c(Cc3cccc(C(N)=O)c3)nc2-c2ccc3nccnc3c2)n1,001,CVD-0020638-001,"",Cc1cccc(n1)-c1[nH]c(Cc2cccc(c2)C(N)=O)nc1-c1ccc2nccnc2c1,> 99.5,"","",1.52,3
CVD-0020637,CDD-261,O=C1[C@H](CC[C@H](O)C2=CC=C(F)C=C2)[C@@H](C2=CC=C(O)C=C2)N1C1=CC=C(F)C=C1,O[C@@H](CC[C@@H]1[C@@H](c2ccc(O)cc2)N(c2ccc(F)cc2)C1=O)c1ccc(F)cc1,001,CVD-0020637-001,"",O[C@@H](CC[C@@H]1[C@H](N(C1=O)c1ccc(F)cc1)c1ccc(O)cc1)c1ccc(F)cc1,> 99.5,"","",0.898,2.3
CVD-0020634,"",CNC(=O)C1(N2C[C@]3(CCN(C4=CN=CC5=CC=CC=C45)C3=O)C3=CC(Cl)=CC=C3C2=O)CC1 |o1:7|,CNC(=O)C1(N2C[C@]3(CCN(C4=CN=CC5=CC=CC=C45)C3=O)C3=CC(Cl)=CC=C3C2=O)CC1,001,CVD-0020634-001,"",CNC(=O)C1(N2C[C@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,0.0505,0.0429,0.0593,1.31,1.1
CVD-0020634,"",CNC(=O)C1(N2C[C@]3(CCN(C4=CN=CC5=CC=CC=C45)C3=O)C3=CC(Cl)=CC=C3C2=O)CC1 |o1:7|,CNC(=O)C1(N2C[C@]3(CCN(C4=CN=CC5=CC=CC=C45)C3=O)C3=CC(Cl)=CC=C3C2=O)CC1,002,CVD-0020634-002,"","",< 0.0500,"","",0.909,2.1
CVD-0020633,"",CNC(=O)C1(N2C[C@@]3(CCN(C4=CN=CC5=CC=CC=C45)C3=O)C3=CC(Cl)=CC=C3C2=O)CC1 |o1:7|,CNC(=O)C1(N2C[C@@]3(CCN(C4=CN=CC5=CC=CC=C45)C3=O)C3=CC(Cl)=CC=C3C2=O)CC1,001,CVD-0020633-001,"",CNC(=O)C1(N2C[C@@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,> 9.99,"","",1.74,2.3
CVD-0020491,"",CNC(=O)CN1C[C@@]2(CCN(C3=CN=CC4=CC=C(Cl)C=C34)C2=O)C2=CC(Cl)=CC=C2C1=O |o1:7|,CNC(=O)CN1C[C@@]2(CCN(C3=CN=CC4=CC=C(Cl)C=C34)C2=O)C2=CC(Cl)=CC=C2C1=O,001,CVD-0020491-001,"",CNC(=O)CN1C[C@@]2(CCN(c3cncc4ccc(Cl)cc34)C2=O)c2cc(Cl)ccc2C1=O,> 9.99,"","",5.30,3
CVD-0020490,"",CNC(=O)CN1CC2=C(C=C(Cl)C=C2)[C@]2(CCN(C3=CN=CC4=CC=CC=C34)C2=O)C1 |o1:14|,CNC(=O)CN1CC2=C(C=C(Cl)C=C2)[C@]2(CCN(C3=C4C=CC=CC4=CN=C3)C2=O)C1,001,CVD-0020490-001,"","",(IC50 could not be calculated),"","","",""
CVD-0020489,"",CNC(=O)CN1C[C@]2(CCN(C3=CN=CC4=CC=C(Cl)C=C34)C2=O)C2=CC(Cl)=CC=C2C1=O |o1:7|,CNC(=O)CN1C[C@]2(CCN(C3=CN=CC4=CC=C(Cl)C=C34)C2=O)C2=CC(Cl)=CC=C2C1=O,001,CVD-0020489-001,"",CNC(=O)CN1C[C@]2(CCN(c3cncc4ccc(Cl)cc34)C2=O)c2cc(Cl)ccc2C1=O,0.0432,0.0413,0.0453,1.13,1.1
CVD-0020489,"",CNC(=O)CN1C[C@]2(CCN(C3=CN=CC4=CC=C(Cl)C=C34)C2=O)C2=CC(Cl)=CC=C2C1=O |o1:7|,CNC(=O)CN1C[C@]2(CCN(C3=CN=CC4=CC=C(Cl)C=C34)C2=O)C2=CC(Cl)=CC=C2C1=O,002,CVD-0020489-002,"","",< 0.0500,"","",1.29,2.1
CVD-0020488,"",CNC(=O)CN1CC2=C(C=C(Cl)C=C2)[C@@]2(CCN(C3=CN=CC4=CC=CC=C34)C2=O)C1 |o1:14|,CNC(=O)CN1CC2=C(C=C(Cl)C=C2)[C@@]2(CCN(C3=C4C=CC=CC4=CN=C3)C2=O)C1,001,CVD-0020488-001,"",CNC(=O)CN1Cc2ccc(Cl)cc2[C@@]2(CCN(c3cncc4ccccc34)C2=O)C1,0.0764,0.0725,0.0806,1.18,1.1
CVD-0020484,"",N#CC1=CC=C(S(=O)(=O)N2CCN(C(=O)CCl)CC2)C=C1,ClCC(=O)N1CCN(S(=O)(=O)c2ccc(C#N)cc2)CC1,001,CVD-0020484-001,DRR-IMP-dff87f5e-9,ClCC(=O)N1CCN(CC1)S(=O)(=O)c1ccc(cc1)C#N,34.3,30.9,37.9,1.52,2.1
CVD-0020484,"",N#CC1=CC=C(S(=O)(=O)N2CCN(C(=O)CCl)CC2)C=C1,ClCC(=O)N1CCN(S(=O)(=O)c2ccc(C#N)cc2)CC1,001,CVD-0020484-001,DRR-IMP-dff87f5e-9,ClCC(=O)N1CCN(CC1)S(=O)(=O)c1ccc(cc1)C#N,71.0,69.5,72.6,3.08,2.1
CVD-0020483,"",O=C(CCl)N1CCN(S(=O)(=O)C2=CC=CC(Cl)=C2)CC1,ClCC(=O)N1CCN(S(=O)(=O)c2cccc(Cl)c2)CC1,001,CVD-0020483-001,DRR-IMP-dff87f5e-8,ClCC(=O)N1CCN(CC1)S(=O)(=O)c1cccc(Cl)c1,1.85,1.74,1.96,1.32,1.1
CVD-0020483,"",O=C(CCl)N1CCN(S(=O)(=O)C2=CC=CC(Cl)=C2)CC1,ClCC(=O)N1CCN(S(=O)(=O)c2cccc(Cl)c2)CC1,001,CVD-0020483-001,DRR-IMP-dff87f5e-8,ClCC(=O)N1CCN(CC1)S(=O)(=O)c1cccc(Cl)c1,4.33,4.07,4.60,2.79,1.1
CVD-0020482,"",O=C(CCl)N1CCN(S(=O)(=O)C2=CC=C(Br)C=C2)CC1,ClCC(=O)N1CCN(S(=O)(=O)c2ccc(Br)cc2)CC1,001,CVD-0020482-001,DRR-IMP-dff87f5e-7,ClCC(=O)N1CCN(CC1)S(=O)(=O)c1cccc(Cl)c1,14.3,13.2,15.4,1.49,1.1
CVD-0020482,"",O=C(CCl)N1CCN(S(=O)(=O)C2=CC=C(Br)C=C2)CC1,ClCC(=O)N1CCN(S(=O)(=O)c2ccc(Br)cc2)CC1,001,CVD-0020482-001,DRR-IMP-dff87f5e-7,ClCC(=O)N1CCN(CC1)S(=O)(=O)c1cccc(Cl)c1,28.8,27.5,30.1,3.13,1.1
CVD-0020481,"",O=C(CCl)N1CCN(S(=O)(=O)C2=CC=C(C(F)(F)F)C=C2)CC1,FC(F)(F)c1ccc(S(=O)(=O)N2CCN(C(=O)CCl)CC2)cc1,001,CVD-0020481-001,DRR-IMP-dff87f5e-6,FC(F)(F)c1ccc(cc1)S(=O)(=O)N1CCN(CC1)C(=O)CCl,15.2,14.1,16.3,1.35,1.1
CVD-0020481,"",O=C(CCl)N1CCN(S(=O)(=O)C2=CC=C(C(F)(F)F)C=C2)CC1,FC(F)(F)c1ccc(S(=O)(=O)N2CCN(C(=O)CCl)CC2)cc1,001,CVD-0020481-001,DRR-IMP-dff87f5e-6,FC(F)(F)c1ccc(cc1)S(=O)(=O)N1CCN(CC1)C(=O)CCl,47.2,38.4,58.2,1.49,2.3
CVD-0020480,"",O=C(CCl)N1CCN(S(=O)(=O)C2=C(Cl)C=CC=C2Cl)CC1,ClCC(=O)N1CCN(S(=O)(=O)c2c(Cl)cccc2Cl)CC1,001,CVD-0020480-001,DRR-IMP-dff87f5e-4,ClCC(=O)N1CCN(CC1)S(=O)(=O)c1c(Cl)cccc1Cl,0.311,0.298,0.324,1.49,1.1
CVD-0020480,"",O=C(CCl)N1CCN(S(=O)(=O)C2=C(Cl)C=CC=C2Cl)CC1,ClCC(=O)N1CCN(S(=O)(=O)c2c(Cl)cccc2Cl)CC1,001,CVD-0020480-001,DRR-IMP-dff87f5e-4,ClCC(=O)N1CCN(CC1)S(=O)(=O)c1c(Cl)cccc1Cl,0.856,0.781,0.939,3.11,1.1
CVD-0020464,"",O=C(CN1C=NC=CC1=O)N1CC2(CCNCC2)C2=CC=C(Br)C=C21,Brc1ccc2c(c1)N(C(=O)Cn1cnccc1=O)CC21CCNCC1,001,CVD-0020464-001,SHA-LIV-041af2c0-4,"BrC1=CC=C2C(=C1)N(CC21CCNCC1)C(=O)CN1C=NC=CC1=O |c:3,5,22,24,t:1|",> 99.5,"","",13.7,3
CVD-0020463,"",O=C(CN1C=NC=N1)N1CC2(CCNCC2)C2=CC=C(Br)C=C21,Brc1ccc2c(c1)N(C(=O)Cn1cncn1)CC21CCNCC1,001,CVD-0020463-001,SHA-LIV-041af2c0-3,"BrC1=CC=C2C(=C1)N(CC21CCNCC1)C(=O)CN1C=NC=N1 |c:3,5,22,24,t:1|",> 99.5,"","","",""
CVD-0020462,"",CC1=CN=CC(NC(=O)N2CC3(CCNCC3)C3=CC=C(Br)C=C32)=C1,Cc1cncc(NC(=O)N2CC3(CCNCC3)c3ccc(Br)cc32)c1,001,CVD-0020462-001,SHA-LIV-041af2c0-2,"CC1=CN=CC(NC(=O)N2CC3(CCNCC3)C3=CC=C(Br)C=C23)=C1 |c:3,26,t:1,18,20,23|",> 99.5,"","",1.39,2.3
CVD-0020461,"",CC1=CC=NC=C1NC(=O)N1CC2(CCNCC2)C2=CC=C(Br)C=C21,Cc1ccncc1NC(=O)N1CC2(CCNCC2)c2ccc(Br)cc21,001,CVD-0020461-001,SHA-LIV-041af2c0-1,"CC1=CC=NC=C1NC(=O)N1CC2(CCNCC2)C2=CC=C(Br)C=C12 |c:3,5,t:1,20,22,25|",> 99.5,"","",2.36,2.3
CVD-0020433,"",O=C(NNC1=NC2=CC=CC=C2S1)C1=CC(=O)NC2=CC=CC=C12,O=C(NNc1nc2ccccc2s1)c1cc(=O)[nH]c2ccccc12,001,CVD-0020433-001,ALP-UNI-ed5cdfd2-8,"O=C(NNC1=NC2=CC=CC=C2S1)C1=CC(=O)NC2=CC=CC=C12 |c:8,10,22,t:4,6,15,20,24|",> 99.5,"","",1.39,2.3
CVD-0020432,"",O=C(NCC1=NC2=CC=CC=C2N1)C1=CC(=O)NC2=CC=CC=C12,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,001,CVD-0020432-001,ALP-UNI-ed5cdfd2-7,"O=C(NCC1=NC2=CC=CC=C2N1)C1=CC(=O)NC2=CC=CC=C12 |c:8,10,22,t:4,6,15,20,24|",> 99.5,"","",1.03,2.1
CVD-0020431,"",O=C(NNC1=NC2=C(C=C(F)C(F)=C2)N1)C1=CC(=O)NC2=CC=CC=C12,Fc1cc2nc(NNC(=O)c3cc(=O)[nH]c4ccccc34)[nH]c2cc1F,001,CVD-0020431-001,ALP-UNI-ed5cdfd2-6,"FC1=C(F)C=C2N=C(NNC(=O)C3=CC(=O)NC4=CC=CC=C34)NC2=C1 |c:1,19,27,t:4,6,12,17,21|",> 99.5,"","",0.586,2.3
CVD-0020430,"",CN1C(NNC(=O)C2=CC(=O)NC3=CC=CC=C23)=NC2=CC=CC=C21,Cn1c(NNC(=O)c2cc(=O)[nH]c3ccccc23)nc2ccccc12,001,CVD-0020430-001,ALP-UNI-ed5cdfd2-5,"CN1C(NNC(=O)C2=CC(=O)NC3=CC=CC=C23)=NC2=CC=CC=C12 |c:14,19,23,t:7,12,16,21,25|",> 99.5,"","",1.11,2.1
CVD-0020429,"",O=C(NNC1=NC2=CC=CC=C2O1)C1=CC(=O)NC2=CC=CC=C12,O=C(NNc1nc2ccccc2o1)c1cc(=O)[nH]c2ccccc12,001,CVD-0020429-001,ALP-UNI-ed5cdfd2-4,"O=C(NNC1=NC2=CC=CC=C2O1)C1=CC(=O)NC2=CC=CC=C12 |c:8,10,22,t:4,6,15,20,24|",> 99.5,"","",1.23,2.1
CVD-0020428,"",O=C(NNC1=NC2=CC=CC=C2N1)C1=CC(=O)NC2=CC=C(F)C=C12,Fc1ccc2[nH]c(=O)cc(C(=O)NNc3nc4ccccc4[nH]3)c2c1,001,CVD-0020428-001,ALP-UNI-ed5cdfd2-3,"FC1=CC=C2NC(=O)C=C(C(=O)NNC3=NC4=CC=CC=C4N3)C2=C1 |c:18,20,26,t:1,3,8,14,16|",73.1,57.4,93.1,0.915,2.1
CVD-0020427,"",O=C(NNC1=NC2=CC=CC=C2N1)C1=CC(=O)NC2=CC(F)=CC=C12,Fc1ccc2c(C(=O)NNc3nc4ccccc4[nH]3)cc(=O)[nH]c2c1,001,CVD-0020427-001,ALP-UNI-ed5cdfd2-2,"FC1=CC=C2C(NC(=O)C=C2C(=O)NNC2=NC3=CC=CC=C3N2)=C1 |c:3,9,20,22,26,t:1,16,18|",95.7,67.4,136,1.00,2.3
CVD-0020426,"",COC1=CC=C2C(C(=O)NNC3=NC4=CC=CC=C4N3)=CC(=O)NC2=C1,COc1ccc2c(C(=O)NNc3nc4ccccc4[nH]3)cc(=O)[nH]c2c1,001,CVD-0020426-001,ALP-UNI-ed5cdfd2-1,"COC1=CC=C2C(NC(=O)C=C2C(=O)NNC2=NC3=CC=CC=C3N2)=C1 |c:4,10,21,23,27,t:2,17,19|",19.4,14.9,25.3,0.852,2.1
CVD-0020425,"",O=C(CN1C[C@]2(CCN(C3=CN=CC4=CC=C(Cl)C=C34)C2=O)C2=CC(Cl)=CC=C2C1=O)NCC1CC1,Clc1ccc2c(c1)[C@]1(CN(CC(=O)NCC3CC3)C2=O)CCN(c2cncc3ccc(Cl)cc23)C1=O,001,CVD-0020425-001,MIK-ENA-93ef1e28-1,O=C(CN1C[C@@]2(CCN(c3cncc4ccc(Cl)cc34)C2=O)c2cc(Cl)ccc2C1=O)NCC1CC1,90.8,78.4,105,1.34,2.1
CVD-0020424,"",O=C(CN1C[C@@]2(CCN(C3=CN=CC4=CC=C(Cl)C=C34)C2=O)C2=CC(Cl)=CC=C2C1=O)NCC1CC1,Clc1ccc2c(c1)[C@@]1(CN(CC(=O)NCC3CC3)C2=O)CCN(c2cncc3ccc(Cl)cc23)C1=O,001,CVD-0020424-001,MIK-ENA-434a856c-1,O=C(CN1C[C@]2(CCN(c3cncc4ccc(Cl)cc34)C2=O)c2cc(Cl)ccc2C1=O)NCC1CC1,0.0773,0.0717,0.0833,1.51,2.1
CVD-0020423,"",O=C(O)C1=CC(S(=O)(=O)NC2=CC=C3OC(=O)NC3=C2)=CC=C1F,OC(=O)c1cc(S(=O)(=O)Nc2ccc3oc(=O)[nH]c3c2)ccc1F,001,CVD-0020423-001,WIL-UNI-1faa9b10-57,O=C(O)c1cc(S(=O)(=O)Nc2ccc3oc(=O)[nH]c3c2)ccc1F,> 99.5,"","","",""
CVD-0020422,"",O=C(CNC(=O)C1=CC=C(F)C=C1)NC1=CC=C2NC(=O)NC2=C1,Fc1ccc(C(=O)NCC(=O)Nc2ccc3[nH]c(=O)[nH]c3c2)cc1,001,CVD-0020422-001,WIL-UNI-1faa9b10-56,O=C(CNC(=O)c1ccc(F)cc1)Nc1ccc2[nH]c(=O)[nH]c2c1,> 99.5,"","",3.95,3
CVD-0020421,"",NC(=O)C1=CC(C(=O)NCC2CCCN2C(=O)C2=CC=NC=C2)=CN1,NC(=O)c1cc(C(=O)NCC2CCCN2C(=O)c2ccncc2)c[nH]1,001,CVD-0020421-001,WIL-UNI-1faa9b10-55,NC(=O)c1cc(C(=O)NCC2CCCN2C(=O)c2ccncc2)c[nH]1,> 99.5,"","","",""
CVD-0020420,"",CN(CCNC(=O)C1=NOC=C1)C(=O)C1=CC=C(C(N)=O)N=C1,CN(CCNC(=O)c1ccon1)C(=O)c1ccc(C(N)=O)nc1,001,CVD-0020420-001,WIL-UNI-1faa9b10-54,CN(CCNC(=O)c1ccon1)C(=O)c1ccc(C(N)=O)nc1,> 99.5,"","","",""
CVD-0020419,"",O=S(=O)(NCC(O)C1=CC=C(F)C=C1)C1=CNC2=NC=CC(Cl)=C12,OC(CNS(=O)(=O)c1c[nH]c2nccc(Cl)c12)c1ccc(F)cc1,001,CVD-0020419-001,WIL-UNI-1faa9b10-53,O=S(=O)(NCC(O)c1ccc(F)cc1)c1c[nH]c2nccc(Cl)c12,> 99.5,"","","",""
CVD-0020418,"",CC1=CC=C(NC(=O)C(=O)NCC(O)C2=CC=CC(F)=C2)C=C1F,Cc1ccc(NC(=O)C(=O)NCC(O)c2cccc(F)c2)cc1F,001,CVD-0020418-001,WIL-UNI-1faa9b10-52,Cc1ccc(NC(=O)C(=O)NCC(O)c2cccc(F)c2)cc1F,> 99.5,"","","",""
CVD-0020417,"",NC(=O)C1=CC=C(F)C(NC(=O)C(=O)NCC2=CC=CC=C2)=C1,NC(=O)c1ccc(F)c(NC(=O)C(=O)NCc2ccccc2)c1,001,CVD-0020417-001,WIL-UNI-1faa9b10-51,NC(=O)c1ccc(F)c(NC(=O)C(=O)NCc2ccccc2)c1,> 99.5,"","","",""
CVD-0020416,"",CN(CCNC(=O)C1=CN=CO1)C(=O)C1=CNC(C(N)=O)=C1,CN(CCNC(=O)c1cnco1)C(=O)c1c[nH]c(C(N)=O)c1,001,CVD-0020416-001,WIL-UNI-1faa9b10-50,CN(CCNC(=O)c1cnco1)C(=O)c1c[nH]c(C(N)=O)c1,> 99.5,"","","",""
CVD-0020415,"",CC(NC(=O)NCC1=CC(S(N)(=O)=O)=CC=C1F)C1=CC=CC=C1Cl,CC(NC(=O)NCc1cc(S(N)(=O)=O)ccc1F)c1ccccc1Cl,001,CVD-0020415-001,WIL-UNI-1faa9b10-49,CC(NC(=O)NCc1cc(S(N)(=O)=O)ccc1F)c1ccccc1Cl,> 99.5,"","","",""
CVD-0020414,"",CN(CCNC(=O)C1=COC=N1)C(=O)C1=CC=C2OC(=O)NC2=C1,CN(CCNC(=O)c1cocn1)C(=O)c1ccc2oc(=O)[nH]c2c1,001,CVD-0020414-001,WIL-UNI-1faa9b10-48,CN(CCNC(=O)c1cocn1)C(=O)c1ccc2oc(=O)[nH]c2c1,> 99.5,"","","",""
CVD-0020413,"",NC(=O)C1=CC=CC(NC(=O)NCC2=NOC3=CC=C(F)C=C23)=C1,NC(=O)c1cccc(NC(=O)NCc2noc3ccc(F)cc23)c1,001,CVD-0020413-001,WIL-UNI-1faa9b10-47,NC(=O)c1cccc(NC(=O)NCc2noc3ccc(F)cc23)c1,> 99.5,"","","",""
CVD-0020412,"",NC(=O)C1=CC=CC(NC(=O)NCC(O)C2=C(F)C=CC=C2F)=C1,NC(=O)c1cccc(NC(=O)NCC(O)c2c(F)cccc2F)c1,001,CVD-0020412-001,WIL-UNI-1faa9b10-46,NC(=O)c1cccc(NC(=O)NCC(O)c2c(F)cccc2F)c1,> 99.5,"","","",""
CVD-0020411,"",CN(C)C(CNS(=O)(=O)C1=CC(F)=C(F)C=C1F)C1=CC=CC(F)=C1,CN(C)C(CNS(=O)(=O)c1cc(F)c(F)cc1F)c1cccc(F)c1,001,CVD-0020411-001,WIL-UNI-1faa9b10-45,CN(C)C(CNS(=O)(=O)c1cc(F)c(F)cc1F)c1cccc(F)c1,> 99.5,"","",0.926,4
CVD-0020410,"",COC1=CC=C(C(N)=O)C=C1S(=O)(=O)NC(=O)C1=CC=CC(F)=C1,COc1ccc(C(N)=O)cc1S(=O)(=O)NC(=O)c1cccc(F)c1,001,CVD-0020410-001,WIL-UNI-1faa9b10-44,COc1ccc(C(N)=O)cc1S(=O)(=O)NC(=O)c1cccc(F)c1,> 99.5,"","",-0.321,4
CVD-0020409,"",CN(CCNC(=O)C1=COC=N1)C(=O)C1=CNC(C(N)=O)=C1,CN(CCNC(=O)c1cocn1)C(=O)c1c[nH]c(C(N)=O)c1,001,CVD-0020409-001,WIL-UNI-1faa9b10-43,CN(CCNC(=O)c1cocn1)C(=O)c1c[nH]c(C(N)=O)c1,> 99.5,"","",0.809,4
CVD-0020408,"",NS(=O)(=O)C1=CC(C(=O)NC(CO)C2=CC=C(F)C=C2)=CC=C1F,NS(=O)(=O)c1cc(C(=O)NC(CO)c2ccc(F)cc2)ccc1F,001,CVD-0020408-001,WIL-UNI-1faa9b10-42,NS(=O)(=O)c1cc(C(=O)NC(CO)c2ccc(F)cc2)ccc1F,> 99.5,"","","",""
CVD-0020407,"",CC1=CC(C(=O)NCC2CCN2C(=O)C2=CC(C(N)=O)=CC=N2)=NO1,Cc1cc(C(=O)NCC2CCN2C(=O)c2cc(C(N)=O)ccn2)no1,001,CVD-0020407-001,WIL-UNI-1faa9b10-41,Cc1cc(C(=O)NCC2CCN2C(=O)c2cc(C(N)=O)ccn2)no1,> 99.5,"","","",""
CVD-0020406,"",COC(=O)NCC(=O)N1CCC(N(C)C(=O)CN(C)C(C)=O)C1,COC(=O)NCC(=O)N1CCC(N(C)C(=O)CN(C)C(C)=O)C1,001,CVD-0020406-001,WIL-UNI-1faa9b10-40,COC(=O)NCC(=O)N1CCC(N(C)C(=O)CN(C)C(C)=O)C1,(IC50 could not be calculated),"","","",""
CVD-0020405,"",NC(=O)C1=CNC(C(=O)NC2CCN(C(=O)C3=CC=NS3)C2)=C1,NC(=O)c1c[nH]c(C(=O)NC2CCN(C(=O)c3ccns3)C2)c1,001,CVD-0020405-001,WIL-UNI-1faa9b10-39,NC(=O)c1c[nH]c(C(=O)NC2CCN(C(=O)c3ccns3)C2)c1,> 99.5,"","","",""
CVD-0020404,"",NS(=O)(=O)C1=CC=CC(CNCC(O)COC2=CC=C(F)C=C2)=C1,NS(=O)(=O)c1cccc(CNCC(O)COc2ccc(F)cc2)c1,001,CVD-0020404-001,WIL-UNI-1faa9b10-38,NS(=O)(=O)c1cccc(CNCC(O)COc2ccc(F)cc2)c1,> 99.5,"","","",""
CVD-0020403,"",NC(=O)C1=NOC(CNC(=O)C(=O)NC2=CC(F)=CC=C2F)=C1,NC(=O)c1cc(CNC(=O)C(=O)Nc2cc(F)ccc2F)on1,001,CVD-0020403-001,WIL-UNI-1faa9b10-37,NC(=O)c1cc(CNC(=O)C(=O)Nc2cc(F)ccc2F)on1,> 99.5,"","","",""
CVD-0020402,"",NC(=O)C1=CC=CC(NC(=O)NC2COC3=CC=C(F)C=C3C2)=C1,NC(=O)c1cccc(NC(=O)NC2COc3ccc(F)cc3C2)c1,001,CVD-0020402-001,WIL-UNI-1faa9b10-36,NC(=O)c1cccc(NC(=O)NC2COc3ccc(F)cc3C2)c1,> 99.5,"","","",""
CVD-0020401,"",NS(=O)(=O)C1=CC=CC(NC(=O)NC2CCC3=CC=C(F)C=C32)=C1,NS(=O)(=O)c1cccc(NC(=O)NC2CCc3ccc(F)cc32)c1,001,CVD-0020401-001,WIL-UNI-1faa9b10-35,NS(=O)(=O)c1cccc(NC(=O)NC2CCc3ccc(F)cc32)c1,> 99.5,"","","",""
CVD-0020400,"",COC1=CC=C(F)C=C1NC(=O)NC(C(N)=O)C1=CC=C(F)C=C1,COc1ccc(F)cc1NC(=O)NC(C(N)=O)c1ccc(F)cc1,001,CVD-0020400-001,WIL-UNI-1faa9b10-34,COc1ccc(F)cc1NC(=O)NC(C(N)=O)c1ccc(F)cc1,> 99.5,"","","",""
