SMILES,Title,pIC50,dpIC50,EXP_BINDING_AFFINITY_IN_KCAL_PER_MOL,EXP_BINDING_AFFINITY_IN_KCAL_PER_MOL_STDERR,EXP_BINDING_AFFINITY_IN_KCAL_PER_MOL_95%CI_LOW,EXP_BINDING_AFFINITY_IN_KCAL_PER_MOL_95%CI_HIGH
CC(=O)NC(C)c1cc(Cl)cc(-c2ccc(S(N)(=O)=O)cc2)c1,EDJ-MED-8698005e-1,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
CN(Cc1cccc(Cl)c1)C(=O)Cn1nnc2ccccc21,EDJ-MED-06d94977-2,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
CCC(=O)Nc1ccc(N(C)C(=O)Cn2nnc3ccccc32)cc1,EDJ-MED-06d94977-1,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
O=C1C(c2cccc(Cl)c2)CCN1c1cncc2ccccc12,PET-UNK-c9c1e0d8-4,5.896196279044043,0.008553525132775297,-8.050860738893808,0.01167926514172404,-8.07467920163693,-8.027962141070036
O=C1C(c2cccc(Cl)c2)CCCN1c1cncc2ccccc12,PET-UNK-c9c1e0d8-3,5.943095148663527,0.010438687026750326,-8.114898001265816,0.014253327326967803,-8.14149438700187,-8.084481077693999
C#Cc1cccc(CC(=O)Nc2cncc3ccccc23)c1,PET-UNK-c9c1e0d8-2,5.027797161620936,0.03403415910244356,-6.865119961403062,0.046471362609311374,-6.956531314540626,-6.770645864103381
O=C(Cc1cc(Cl)cc(OC2CC(=O)N2)c1)Nc1cc(=O)[nH]c2ccccc12,MAT-POS-3b92565d-6,4.079354998593212,0.024839515617379515,-5.570085771213345,0.03391669333801812,-5.637887966500653,-5.50222119314858
COC1=CC=C(Cl)C=C1CC(=O)NC1=CN=CC2=CC=CC=C12,MAT-POS-3b92565d-1,5.920818753952375,0.015342921907266716,-8.084481077693999,0.020949731277119958,-8.12539385048576,-8.041594925377282
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(S(N)(=O)=O)c1,RAL-THA-6b94ceba-13,4.835647144215563,0.02074355876619105,-6.60275199434524,0.028323938850071742,-6.658053687982783,-6.544757932582497
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(CNS(C)(=O)=O)c1,RAL-THA-6b94ceba-12,4.779891911959945,0.07201625462490324,-6.526621962522854,0.09833336773107146,-6.724010489603146,-6.330677018678861
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2ncc[nH]2)c1,RAL-THA-6b94ceba-9,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
CNC(=O)c1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1,RAL-THA-6b94ceba-7,4.24184537803261,0.014599410031083115,-5.791955491006443,0.019934515655119275,-5.832646540108952,-5.752908477488475
CC(=O)NCc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1,RAL-THA-6b94ceba-5,4.384049948343599,0.10322213049295259,-5.986126298392391,0.14094289919151415,-6.267428602675419,-5.7036570059093625
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2ncn[nH]2)c1,RAL-THA-6b94ceba-2,4.431798275933005,0.021346007654374555,-6.05132343867479,0.02914654241880049,-6.108483803160104,-5.991897633484903
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2ncc[nH]2)c1,RAL-THA-6b94ceba-1,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
O=C(Cc1cccc(Cl)c1)Nc1cncc2c1CCCC2,EDJ-MED-a364e151-1,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
CCCCc1nc(-c2nccn2Cc2ccoc2)c[nH]1,MAT-POS-ea426761-53,4.844663962534939,0.1672984036165639,-6.615063855274159,0.2284347544777763,-7.069982366524227,-6.156243348613122
CCCCc1nc(-c2nccn2CCc2ccccn2)c[nH]1,MAT-POS-ea426761-52,4.663540266151471,0.10863012934311733,-6.367751590368791,0.1483271590699579,-6.662529180924566,-6.069220544644734
CCCCc1nc(-c2nccn2CC(F)(F)F)c[nH]1,MAT-POS-ea426761-49,4.636388020107856,0.06760596229398175,-6.330677018678861,0.09231140921855446,-6.5160007830689,-6.146755146194683
O=c1oc(Nc2ccccc2)nc2ccccc12,MAT-POS-ea426761-13,5.804100347590766,0.09937560808270862,-7.925109918592206,0.13569073071062884,-8.196763357530434,-7.6540004346879185
COC1=CC=CC(=C1)C1=N\C(=C\C2=C(C)C=CS2)C(=O)O1,MAT-POS-ea426761-9,5.931814138253839,0.08966789096387395,-8.099494537828685,0.12243549378880357,-8.343748864902686,-7.854006889747472
O=C(Cc1cccc(Cl)c1)Nc1ncn2ccccc12,EDJ-MED-50fe53e8-3,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
O=C(Cc1cccc(Cl)c1)Nc1cnnc2ccccc12,EDJ-MED-50fe53e8-2,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
O=C(Cc1cccc(Cl)c1)Nc1nncc2ccccc12,EDJ-MED-50fe53e8-1,4.663540266151471,0.017509466651938643,-6.367751590368791,0.02390800288112496,-6.416128522655298,-6.3204965111307985
COc1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,EDJ-MED-00c1612e-1,6.0467236633326955,0.030324941758151924,-8.256395790806017,0.041406674991072326,-8.34069609110787,-8.175069391143579
O=C(Cc1cccc(Cl)c1)Nc1cnccc1-c1ccccc1,ALP-POS-0c2c77e1-1,4.388276691992658,0.0164498448749415,-5.991897633484903,0.022461160381525146,-6.037071751404405,-5.9472271098783045
O=C(Cc1cc(Cl)cc(OC2CC(=O)N2)c1)Nc1cncc2ccccc12,ALP-POS-3b848b35-2,6.823908740944319,0.015174460088402952,-9.317589911910142,0.02071970795711732,-9.358502684701904,-9.275623852873435
CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,LON-WEI-2e27a2e5-1,5.761953896871205,0.03685025131782926,-7.86756176562657,0.05031654773900809,-7.9681849544907095,-7.766918763534677
CNc1ccc(N(C(=O)Cn2nnc3ccccc32)c2cccc(Cl)c2)cc1,MAT-POS-06036648-5,5.272458742971444,0.13476683794034727,-7.199188948660358,0.1840150824583331,-7.567390727218298,-6.831330397384965
CC1=CC=NC=C1C(N(CC1=CC=CC(Cl)=C1)C(=O)C=C)C(=O)NCCC1=CC=CC(F)=C1,MAT-POS1,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
COc1ccc(Cl)cc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,ALP-POS-05819dc4-1,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
Cc1ccncc1OCCNC(=O)C(C)(C)c1cccc(Cl)c1,WIL-UNI-2e73223c-4,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
COc1cccc(C(NC(=O)Cc2cccc(Cl)c2)c2nc3ccccc3[nH]2)c1,ALP-POS-ddb41b15-9,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
Cn1c(C(NC(=O)Cc2cc3ccccc3[nH]2)c2cccc(Cl)c2)nc2ccccc21,ALP-POS-ddb41b15-8,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
COc1cccc(CCN(C(=O)c2cc(=O)[nH]c3ccccc23)c2cccc(Cl)c2)c1,ALP-POS-ddb41b15-4,5.39040559077478,0.038470472567448954,-7.360237462196293,0.05252885123596689,-7.465157372134628,-7.25504196719076
CN(C)c1cncc(CN(C(=O)c2cc(=O)[nH]c3ccccc23)c2cccc(Cl)c2)c1,ALP-POS-ddb41b15-3,4.238824186844268,0.036500220419705354,-5.78783025697898,0.049838604013640375,-5.887173685347367,-5.687819269292805
Cc1ccncc1NC(=O)C(C(=O)c1cc(=O)[nH]c2ccccc12)c1cccc(Cl)c1,ALP-POS-ddb41b15-1,4.801342913045577,0.009626749230184029,-6.555911866433291,0.013144680697948294,-6.582783777787033,-6.53020505499524
O=C1CC(NC(=O)Cc2cccc(Cl)c2)C(=O)N1,MIC-UNK-fc94cdb5-1,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
O=C(Cc1cccc(Cl)c1)NC1CCCNC1=O,MIC-UNK-4c7b8ba7-1,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
O=C1CC(NC(=O)C2CCOc3ccc(Cl)cc32)CN1,MIC-UNK-42806bd5-3,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
O=C1CC(NC(=O)Cc2cccc(Cl)c2)CN1,MIC-UNK-42806bd5-2,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
O=C1CC(Oc2cc(Cl)cc(CC(=O)Nn3cnc4ccccc4c3=O)c2)N1,JAN-GHE-74b8b0cb-1,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
O=C1CC(Oc2cc(Cl)cc(CC(=O)Nn3cnc4ccccc43)c2)N1,MAT-POS-c478e61b-1,4.085656842880559,0.015063475629391032,-5.578690517112994,0.02056816611871853,-5.619809694362113,-5.537537029887239
COc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1,MAT-POS-c9973a83-1,4.434152181326483,0.015642747392581313,-6.054537538684109,0.02135912287706012,-6.097987953940159,-6.012551462431918
COc1c(Cl)cccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,ALP-POS-3fc1724e-1,5.1944991418416,0.04138639284612822,-7.092740339717875,0.05651034489363212,-7.20588958492594,-6.979848205351412
Cc1noc(C)c1S(=O)(=O)N1CCN(C(=O)CCl)CC1,MAR-TRE-6a44bbf2-24,5.391473966422806,0.016819168828615227,-7.361696257519926,0.02296544748084249,-7.4072173191335455,-7.3153555292101755
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NS(N)(=O)=O)c1,WIL-MOD-03b86a88-6,4.94692155651658,0.037459646484378606,-6.754689744521865,0.051148635985167897,-6.858206263588065,-6.653611719647394
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NS(C)(=O)=O)c1,WIL-MOD-03b86a88-5,4.661543506395395,0.02634444952390136,-6.365025148784354,0.035971579696823526,-6.437255438997687,-6.293369120210392
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OC2COC2)c1,WIL-MOD-03b86a88-4,4.795880017344075,0.017682192095154647,-6.548452648584624,0.024143847894347824,-6.598704197058493,-6.502128805481101
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C2COC2)c1,WIL-MOD-03b86a88-2,4.718966632752273,0.3043009611426484,-6.443432578186632,0.41550256214811776,-7.274893193204219,-5.612882944611749
O=C(Nc1cc(=O)[nH]c2ccccc12)C1CCOc2ccc(Cl)cc21,JAG-UCB-c61058a9-45,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
CS(=O)(=O)NC1=CC=CC(=C1)C1=NN(C(C1)C1=CC=CC=C1)C(=O)CCl,TAT-ENA-80bfd3e5-45,5.2343314452409855,0.02435246810809888,-7.14712867965791,0.033251662615689584,-7.2138039064040065,-7.080797255941248
CN(CC(=O)NC1=CC=CC=C1Br)C(=O)CCl,TAT-ENA-80bfd3e5-42,5.229147988357856,0.09628715434437085,-7.140051016782192,0.13147365418041795,-7.4025047115498745,-6.8766100948282025
CC1=CC(C(=O)CCl)=C(C)N1NC(=O)C1=NNC(=O)C2=CC=CC=C12,TAT-ENA-80bfd3e5-37,5.218244625347531,0.027557382008244424,-7.125163205551464,0.03762775768937668,-7.200300476633407,-7.0497894458759
CCN(C1=CC=CC=C1)S(=O)(=O)C1=CC=C(OC)C(NC(=O)CCl)=C1,TAT-ENA-80bfd3e5-36,5.490797477668897,0.026183837630003426,-7.497315853492718,0.0357522749231039,-7.569460537347581,-7.426451437655165
CC1=CC(C(=O)CCl)=C(C)N1CC1COC2=CC=CC=C2O1,TAT-ENA-80bfd3e5-32,5.549750891680639,0.0223302193496262,-7.577812788097452,0.030490417507257735,-7.639824460821761,-7.51786279079273
CSC1=C(C#N)C2(CCCCC2)C(C#N)=C(NC(=O)CCl)N1,TAT-ENA-80bfd3e5-7,5.756961951313706,0.02297551938024811,-7.860745598627109,0.03137153143825177,-7.925109918592206,-7.799623792839198
CC1=C(N2C=CC=CC2=C1C(=O)CCl)C(=O)C1=CC=C(F)C=C1,TAT-ENA-80bfd3e5-4,5.124360062995832,0.008239076348987462,-6.996970129667622,0.011249906408062475,-7.019502012423605,-6.974502386791356
